"sifra";"podsifra";"skola";"ime_ravnatelja";"prezime_ravnatelja"
"12-348-002";"0-0";Osnovna škola Vladimir Nazor;Marija;Petričević
"10-089-506";"0-0";Katolička klasična gimnazija s pravom javnosti u Virovitici;Marijana;Novak Stanić
"16-425-001";"0-0";Osnovna škola Franjo Hanaman;Marijana;Raguž
"08-071-517";"0-0";Prometna škola;Marijeta;Mašić
"20-010-010";"0-0";Osnovna škola Kuršanec;Marija;Tepalović
"19-049-501";"0-0";Srednja škola Metković;Marijo;Obradović
"17-126-514";"0-0";Tehnička škola za strojarstvo i mehatroniku;Marin;Tvrdić
"03-076-507";"0-0";Ekonomska škola Sisak;Marina;Jovanić
"21-114-138";"0-0";Osnovna škola Luka;Marina;Sabolović
"10-315-001";"0-0";Osnovna škola Suhopolje;Anto;Škraba
"19-602-001";"0-0";Osnovna škola Župa dubrovačka                                                    ;Anton;Jurkić
"08-071-503";"0-0";Trgovačka i tekstilna škola u Rijeci;Antonija;Bukša
"20-526-001";"0-0";Osnovna škola Podturen;Marijana;Cerovec
"21-114-593";"0-0";Glazbena škola Vatroslava Lisinskog;Antonio;Mrčela
"13-357-002";"0-0";Osnovna škola braće Radić;Antonio;Zubčić
"05-238-001";"0-0";Osnovna škola Sveti Đurđ;Mario;Bontek
"21-114-007";"0-0";Osnovna škola Ksavera Šandora Gjalskog;Mario;Keča
"21-114-596";"0-0";Glazbena škola Zlatka Balokovića;Marjan;Krajna
"19-112-004";"0-0";Osnovna škola Ivo Dugandžić-Mišić;Marjan;Scipioni
"08-071-005";"0-0";Osnovna škola Zamet;Marjana;Seršić
"16-438-003";"0-0";Osnovna škola Tordinci;Antun;Maletić
"17-126-033";"0-0";Centar za autizam Split;Anja;Jelaska
"18-072-003";"0-0";Osnovna škola Jurja Dobrile Rovinj;Marin;Mihovilović
"17-126-027";"0-0";Osnovna škola Stobreč;Marina;Baćak
"16-435-001";"0-0";Osnovna škola Čakovci;Marina;Balić
"05-229-002";"0-0";Osnovna škola Šemovec;Marina;Hižak
"19-508-002";"0-0";Osnovna škola Janjina;Marina;Palihnić
"01-155-001";"0-0";Osnovna škola Pušća;Arsen;Šarunić
"08-293-001";"0-0";Osnovna škola Dr. Andrija Mohorovičić;Astrid;Massari
"03-076-002";"0-0";Osnovna škola 22. lipnja;Azra;Rađenović
"09-015-001";"0-0";Osnovna škola Donji Lapac;Marko;Matić
"08-071-024";"0-0";Osnovna škola Fran Franković;Marko;Starčević
"11-077-502";"0-0";Ekonomska škola, Požega;Marinka;Parac
"20-519-001";"0-0";Osnovna škola Belica;Antun;Žulić
"18-501-002";"0-0";Talijanska osnovna škola Galileo Galilei;Arden;Sirotić
"06-037-504";"0-0";Umjetnička škola Fortunat Pintarić;Ariana;Šandl
"21-114-520";"0-0";Škola za medicinske sestre Mlinarska;Asja;Jelaković
"04-201-001";"0-0";Osnovna škola "Antun Klasinc" Lasinja";Mario;Crnolatec
"01-032-003";"0-0";Osnovna škola Josipa Badalića Graberje Ivanićko;Martina;Novak
"01-109-501";"0-0";Srednja škola Dragutina Stražimira;Martina;Zerec
"02-040-001";"0-0";Osnovna škola Augusta Cesarca, Krapina;Matilda;Juričev Žigman
"05-086-006";"0-0";VI. osnovna škola Varaždin;Mario;Stančić
"18-504-001";"0-0";Osnovna škola Vodnjan - Scuola elementare Dignano;Barbara;Buršić-Križanac
"17-475-001";"0-0";Osnovna škola Komiža;Melita;Mardešić
"12-349-002";"0-0";Osnovna škola Markovac;Melita;Selichar
"20-527-001";"0-0";Osnovna škola Prelog;Melita;Trupković
"21-114-624";"0-0";Srednja škola Jelkovec;Marko;Kovačević
"16-420-001";"0-0";Osnovna škola fra Bernardina Tome Leakovića;Marko;Kovačević
"07-004-001";"0-0";I. osnovna škola Bjelovar;Martina;Supančić
"17-126-021";"0-0";Osnovna škola Pujanki;Mate;Glavinović
"06-041-004";"0-0";Centar za odgoj, obrazovanje i rehabilitaciju Križevci;Mihaela;Brkić
"05-234-001";"0-0";Osnovna škola grofa Janka Draškovića;Mijo;Barišić
"17-126-022";"0-0";Osnovna škola Žrnovnica;Matija;Šitum
"17-463-001";"0-0";Osnovna škola Bariše Granića Meštra;Matko;Granić
"16-088-504";"0-0";Ekonomska i trgovačka škola Ivana Domca;Mato;Džalto
"03-066-501";"0-0";Srednja škola Petrinja;Milan;Orlić
"18-006-503";"0-0";Gospodarska škola Istituto professionale;Milivoj;Gospić
"17-459-003";"0-0";Osnovna škola Primorski Dolac;Mila;Mišković
"09-455-001";"0-0";Osnovna škola Plitvička Jezera;Milan;Podnar
"02-177-501";"0-0";Srednja škola Konjščina;Milojka;Rataić
"11-322-001";"0-0";Osnovna škola Zdenka Turkovića;Miljenko;Crnjac
"08-058-002";"0-0";Osnovna škola Rikard Katalinić Jeretov;Milana;Međimorec
"21-114-064";"0-0";Osnovna škola Julija Klovića;Milena;Laco
"05-223-001";"0-0";Osnovna škola Kneginec Gornji;Miljenko;Rožmarić
"12-078-510";"0-0";Glazbena škola Slavonski Brod;Mirela;Jagodić
"21-114-514";"0-0";Gimnazija Lucijana Vranjanina;Milica;Medak
"17-126-515";"0-0";Obrtna tehnička škola                                                ;Milivoj;Kalebić
"21-114-060";"0-0";Osnovna škola Ivana Meštrovića;Milivoj;Magerl
"04-214-001";"0-0";Osnovna škola Netretić;Miodrag;Popović
"18-506-001";"0-0";Osnovna škola Vladimira Gortana;Miranda;Damijanić Roce
"12-051-502";"0-0";Industrijsko obrtnička škola;Mirela;Brlić Trnka
"03-076-008";"0-0";Osnovna škola Budaševo - Topolovac - Gušće;Mirela;Maričević
"06-559-001";"0-0";Osnovna škola Ivan Lacković Croata Kalinovac;Mirjana;Bazijanec
"21-114-033";"0-0";Osnovna škola Bukovac;Mirjana;Boras
"10-305-001";"0-0";Osnovna škola Ivan Goran Kovačić;Mirjana;Buneta-Knežević
"03-190-001";"0-0";Osnovna škola Josipa Kozarca;Mirjana;Faltis
"21-114-010";"0-0";Osnovna škola Otona Ivekovića;Biserka;Šćurić
"21-114-016";"0-0";Osnovna škola Antuna Mihanovića;Beatrica;Šurbek
"21-114-537";"0-0";Treća ekonomska škola;Bernard;Iličić
"13-107-006";"0-0";Osnovna škola Smiljevac;Bernardo;Kotlar
"02-097-503";"0-0";Gimnazija Antuna Gustava Matoša;Bibijana;Šlogar
"13-107-501";"0-0";Gimnazija Franje Petrića Zadar;Blanka;Pedišić
"21-114-512";"0-0";XII. gimnazija;Blaženka;Ječminek
"05-230-001";"0-0";Osnovna škola Vinica;Mirjana;Jambriško
"05-086-505";"0-0";Medicinska škola Varaždin;Mirjana;Grabar Kruljac
"20-520-001";"0-0";Osnovna škola Donja Dubrava;Mirjana;Ribić
"16-425-003";"0-0";Osnovna škola Davorin Trstenjak;Mirna;Slavković Misir
"18-044-002";"0-0";Osnovna škola "Ivo Lola Ribar" Labin ";Miro;Alilović
"17-465-001";"0-0";Osnovna škola Kamešnica;Miroslav;Jukić
"17-474-001";"0-0";Osnovna škola Milana Begovića;Mirjana;Vodanović Mandarić
"15-036-502";"0-0";Srednja škola Lovre Montija;Mirko;Antunović
"14-022-503";"0-0";Srednja strukovna škola Antuna Horvata;Mirko;Ćurić
"09-380-001";"0-0";Osnovna škola kralja Tomislava;Mirko;Dragičević
"17-464-001";"0-0";Osnovna škola Ivan Duknović;Mirko;Matijaš
"06-256-001";"0-0";Osnovna škola Kloštar Podravski;Mirko;Šandrovčan
"14-398-001";"0-0";Osnovna škola Ivane Brlić Mažuranić;Miroslav;Čukić
"21-114-539";"0-0";Ugostiteljsko-turističko učilište;Mladen;Smodlaka
"06-259-001";"0-0";Osnovna škola Ferdinandovac;Miroslav;Fuček
"21-114-005";"0-0";Osnovna škola Pantovčak;Miroslav;Klobučar
"21-114-594";"0-0";Glazbena škola Blagoja Berse;Mislav;Defar
"14-022-005";"0-0";Osnovna škola Đakovački Selci;Nada;Denić
"10-067-503";"0-0";Industrijsko-obrtnička škola Slatina;Mladen;Graovac
"18-485-002";"0-0";Osnovna škola Vladimira Nazora Potpićan;Nada;Peršić
"21-114-080";"0-0";Osnovna škola Trnjanska;Nada;Šimić
"12-078-009";"0-0";Osnovna škola Milan Amruš;Nataša;Čošić
"08-297-001";"0-0";Osnovna škola dr. Branimira Markovića                                                                                                ;Nataša;Možgon Kauzlarić
"12-078-006";"0-0";Osnovna škola Vladimir Nazor;Nataša;Stanković
"14-404-001";"0-0";Osnovna škola Silvije Strahimir Kranjčević;Nataša;Šego
"17-126-007";"0-0";Osnovna škola Pojišan;Boris;Poljak
"21-114-056";"0-0";Osnovna škola Malešnica;Boro;Šarušić
"15-081-011";"0-0";Centar za odgoj i obrazovanje Šubićevac;Nataša;Tucak
"03-092-002";"0-0";Osnovna škola Gvozd;Natko;Rupčić
"17-030-502";"0-0";Obrtničko-industrijska škola u Imotskom;Nediljko;Biočić
"08-071-508";"0-0";Građevinska tehnička škola;Boris;Petrović
"01-087-505";"0-0";Umjetnička škola Franje Lučića;Borut;Vidošević
"21-114-548";"0-0";Strojarska tehnička škola Frana Bošnjakovića;Bosiljka;Galenić
"14-016-501";"0-0";Srednja škola Donji Miholjac;Nenad;Perić
"20-525-002";"0-0";Osnovna škola dr. Ivana Novaka Macinec;Božena;Dogša
"13-353-001";"0-0";Osnovna škola Zemunik;Božena;Župan
"15-081-004";"0-0";Osnovna škola Jurja Dalmatinca Šibenik;Natko;Duvnjak
"17-126-511";"0-0";Ekonomska i upravna škola;Neda;Bartulin
"08-044-001";"0-0";Osnovna škola Malinska-Dubašnica;Nedeljka;Turčić
"01-545-001";"0-0";Osnovna škola Slavka Kolara;Nikola;Tonković
"19-018-002";"0-0";Osnovna škola Lapad;Nikolina;Soko
"15-413-001";"0-0";Osnovna škola Primošten;Nedjeljko;Marinov
"19-038-502";"0-0";Srednja škola Vela Luka;Ofelija;Dragojević
"03-039-501";"0-0";Srednja škola Ivana Trnskoga;Olga;Mijočević
"21-114-019";"0-0";Osnovna škola Dr. Ante Starčevića;Nikica;Mihaljević
"03-043-007";"0-0";Osnovna glazbena škola Borisa Papandopula;Nikola;Šćapec
"10-089-504";"0-0";Strukovna škola Virovitica;Pavica;Biondić-Ivanković
"17-124-005";"0-0";Osnovna škola prof. Filipa Lukasa;Petar;Mustapić
"05-225-001";"0-0";Osnovna škola Vidovec;Predrag;Mašić
"17-126-508";"0-0";IV. gimnazija Marko Marulić;Ninočka;Knežević
"21-114-590";"0-0";Škola suvremenog plesa Ane Maletić;Oksana;Čuljat
"08-058-502";"0-0";Gimnazija Eugena Kumičića Opatija;Oliver;Kvasina
"08-071-017";"0-0";Osnovna škola Škurinje Rijeka;Orlando;Baličević
"06-037-004";"0-0";Centar za odgoj, obrazovanje i rehabilitaciju Podravsko sunce;Radmila;Popović
"05-230-501";"0-0";Srednja škola "Arboretum Opeka";Rajka;Tršinski
"17-047-001";"0-0";Osnovna škola o. Petra Perice Makarska;Renata;Gudelj
"18-069-506";"0-0";Ekonomska škola Pula;Petko;Radulović
"08-071-507";"0-0";Prirodoslovna i grafička škola Rijeka;Radenko;Bradić
"02-097-502";"0-0";Škola za umjetnost, dizajn, grafiku i odjeću Zabok;Božica;Šarić
"02-187-001";"0-0";Osnovna škola Sveti Križ Začretje;Božidar;Kučko
"05-235-001";"0-0";Osnovna škola Andrije Kačića Miošića;Rahela;Blažević
"13-107-503";"0-0";Gimnazija Jurja Barakovića;Ranko;Artuković
"01-548-001";"0-0";Osnovna škola Luka;Renata;Meglić
"03-066-001";"0-0";I. osnovna škola Petrinja;Robert;Groza
"03-025-001";"0-0";Osnovna škola Glina;Robertina;Štajdohar
"21-114-002";"0-0";Osnovna škola Jabukovac - Zagreb;Romana;Šimunić Cvrtila
"14-060-507";"0-0";Poljoprivredna i veterinarska škola Osijek;Rudi;Lukačević
"21-114-528";"0-0";Elektrotehnička škola;Renato;Matejaš
"10-067-001";"0-0";Osnovna škola Eugena Kumičića;Božica;Majhen
"03-076-501";"0-0";Gimnazija Sisak;Božidar;Dujmić
"16-612-001";"0-0";Osnovna škola Negoslavci;Branislav;Danilovac
"08-071-033";"0-0";Centar za autizam Rijeka;Sandra;Čavrak
"11-064-001";"0-0";Osnovna škola braće Radića Pakrac;Sanja;Delač
"03-043-001";"0-0";Osnovna škola Banova Jaruga;Sanja;Marčec
"02-171-001";"0-0";Osnovna škola Matije Gupca;Sanja;Knezić
"15-376-001";"0-0";Osnovna škola Kistanje;Sanja;Marasović Stručić
"10-089-002";"0-0";Osnovna škola Vladimir Nazor Virovitica;Sanjica;Samac
"16-088-509";"0-0";Poljoprivredno šumarska škola Vinkovci;Ružica;Zucić
"06-254-001";"0-0";Osnovna škola Sokolovac;Saša;Korkut
"10-308-001";"0-0";Osnovna škola Ivana Gorana Kovačića Gornje Bazje;Saša;Topić
"14-393-002";"0-0";Osnovna škola Miroslava Krleže;Branka;Mack-Savanović
"17-444-501";"0-0";Srednja škola Bol;Sani;Bodlović
"19-510-001";"0-0";Osnovna škola Mljet;Sanja;Lazo
"17-446-001";"0-0";Osnovna škola Vladimira Nazora;Sanja;Nejašmić
"06-037-003";"0-0";Osnovna škola "Đuro Ester";Sanja;Prelogović
"12-051-503";"0-0";Elektrotehnička i ekonomska škola;Sanja;Müller-Zoričić
"15-017-001";"0-0";Osnovna škola Antuna Mihanovića Petropoljskog;Saša;Kolombo
"15-081-505";"0-0";Turističko-ugostiteljska škola Šibenik;Senka;Dodig
"17-445-001";"0-0";Osnovna škola Pučišća;Siniša;Lučić Lavčević
"08-013-501";"0-0";Srednja škola Delnice;Slađana;Srkoč
"08-058-501";"0-0";Ugostiteljska škola Opatija;Sibila;Roth
"13-357-001";"0-0";Osnovna škola Novigrad;Branka;Maroja
"16-421-001";"0-0";Osnovna škola Siniše Glavaševića;Slavica;Mišić
"13-107-511";"0-0";Obrtnička škola Gojka Matuline Zadar;Silvana;Ujdur Bilan
"21-114-565";"0-0";GIMNAZIJA SESVETE;Slavko;Ivanković
"17-124-003";"0-0";Osnovna škola Ostrog;Silvana;Maganjić
"08-009-001";"0-0";Osnovna škola Petar Zrinski Čabar;Silvana;Šebalj-Mačkić
"14-394-002";"0-0";Osnovna škola Laslovo;Silvija;Bocka
"04-034-510";"0-0";Mješovita industrijsko-obrtnička škola;Snježana;Erdeljac
"21-114-094";"0-0";Osnovna škola Većeslava Holjevca;Slaven;Staklenac
"01-087-005";"0-0";Osnovna škola Eugena Kumičića;Snježana;Ruklić
"08-071-018";"0-0";Osnovna škola "Trsat";Sonja;Lefler
"01-033-501";"0-0";Srednja škola Jastrebarsko;Sonja;Stipanović
"09-302-001";"0-0";Osnovna škola Perušić;Snježana;Milković
"16-439-002";"0-0";Osnovna škola Bobota;Brankica;Maletić
"14-407-001";"0-0";Osnovna škola Matija Gubec;Branko;Belcar
"20-531-001";"0-0";Osnovna škola Štrigova;Stanislav;Rebernik
"07-004-507";"0-0";Obrtnička škola Bjelovar;Branko;Cvetković
"17-075-501";"0-0";Srednja strukovna škola bana Josipa Jelačića;Stipe;Ivišić
"07-004-508";"0-0";Turističko-ugostiteljska i prehrambena škola Bjelovar;Dalibor;Vukalović
"21-114-509";"0-0";IX. gimnazija;Sonja;Lušić Radošević
"02-014-001";"0-0";Osnovna škola Donja Stubica;Sonja;Martinek
"14-022-006";"0-0";Osnovna škola Matija Gubec;Damir;Iletić
"21-114-508";"0-0";Gimnazija Tituša Brezovačkog;Damir;Jelenski
"20-521-001";"0-0";Osnovna škola Hodošan;Damir;Kovačić
"08-071-515";"0-0";Graditeljska škola za industriju i obrt;Damir;Milišić
"04-034-509";"0-0";Trgovačko-ugostiteljska škola;Damir;Pleša
"14-394-001";"0-0";Osnovna škola Ernestinovo;Damir;Škrlec
"02-014-004";"0-0";Osnovna škola Vladimir Bosnar Stubičke Toplice;Brigitte;Gmaz
"18-044-501";"0-0";Srednja škola Mate Blažine Labin;Čedomir;Ružić
"21-114-556";"0-0";Upravna škola Zagreb;Suzana;Hitrec
"03-054-002";"0-0";Osnovna škola Rajić;Damir;Blažeković
"18-065-501";"0-0";Gimnazija i strukovna škola Jurja Dobrile, Pazin;Suzana;Poropat-Božac
"10-089-507";"0-0";Glazbena škola Jan Vlašimsky Virovitica;Damir;Mihaljević
"08-071-524";"0-0";Škola za primijenjenu umjetnost u Rijeci;Damir;Šegota
"16-424-001";"0-0";Osnovna škola Antun i Stjepan Radić;Stipica;Mišura
"14-399-001";"0-0";Osnovna škola Petrijevci;Susana;Dundović
"19-018-504";"0-0";Ekonomska i trgovačka škola;Suzana;Đurđević
"16-439-003";"0-0";Osnovna škola Bršadin;Tatjana;Lukić
"21-114-053";"0-0";Osnovna škola grofa Janka Draškovića;Danica;Rajković
"01-544-001";"0-0";Osnovna škola Pokupsko;Štefica;Facko Vrban
"21-114-090";"0-0";Osnovna škola Sveta Klara;Tajana;Babić
"16-425-002";"0-0";Osnovna škola Ivan Filipović;Tamara;Ilišević
"17-075-502";"0-0";Gimnazija Dinka Šimunovića u Sinju;Tomislav;Bilić
"08-071-504";"0-0";Srednja škola za elektrotehniku i računalstvo;Tomislav;Klarić
"03-196-001";"0-0";Osnovna škola Ludina;Tomislav;Pavlović
"08-275-001";"0-0";Osnovna škola Bakar;Tomislav;Uzelac-Šćiran
"14-405-001";"0-0";Osnovna škola Milka Cepelića;Danijel;Slobođanac
"01-198-001";"0-0";Osnovna škola braće Radića   ;Tatjana;Bakarić
"08-071-016";"0-0";Osnovna škola Nikola Tesla;Tatjana;Bandera-Mrakovčić
"21-114-092";"0-0";Osnovna škola Stjepana Bencekovića;Tatjana;Bračun Haddad
"16-432-001";"0-0";Osnovna škola Ivan Kozarac;Tatjana;Knežević
"21-114-048";"0-0";Osnovna škola Stenjevec;Valentina;Kabić Bratuša
"12-336-002";"0-0";Osnovna škola Sikirevci;Terezija;Štrljić
"19-112-001";"0-0";Osnovna škola "Vladimir Nazor";Tihana;Pažin
"21-114-505";"0-0";V. gimnazija;Tihomir;Engelsfeld
"16-421-002";"0-0";Osnovna škola Blage Zadre;Tihomir;Hideg
"17-465-002";"0-0";Osnovna škola Ivana Mažuranića;Tomislav;Budimir
"21-114-029";"0-0";Osnovna škola Augusta Harambašića;Tomislav;Filić
"13-107-514";"0-0";Prirodoslovno-grafička škola;Tomislav;Grbin
"20-527-501";"0-0";Srednja škola Prelog;Tomislav;Gregur
"03-076-508";"0-0";Glazbena škola Frana Lhotke;Tomislav;Ivšić
"19-045-001";"0-0";Osnovna škola "Braća Glumac";Vedrana;Ortika Medini
"06-023-001";"0-0";Osnovna škola Đurđevac;Danijel;Domišljanović
"12-333-001";"0-0";Osnovna škola Vjekoslav Klaić;Danijela;Erić
"14-001-501";"0-0";Gimnazija Beli Manastir;Veljko;Frank
"03-192-001";"0-0";Osnovna škola Braća Radić                                                                     ;Verica;Pleša
"13-002-001";"0-0";Osnovna škola Benkovac;Tonći;Kuman
"12-078-008";"0-0";Osnovna škola Blaž Tadijanović;Veronika;Čerenko
"19-018-004";"0-0";Osnovna škola Ivana Gundulića;Vedrana;Elez
"04-219-001";"0-0";Osnovna škola Eugena Kvaternika;Vera;Ljubanović Grdić
"04-209-001";"0-0";Osnovna škola Barilović;Vesna;Car
"02-123-501";"0-0";Srednja škola Pregrada;Vilmica;Kapac
"12-051-002";"0-0";Osnovna škola Mato Lovrak;Vesna;Lončar-Cindrić
"06-248-001";"0-0";Osnovna škola Gola;Violeta;Pranjić
"08-296-001";"0-0";Osnovna škola Skrad;Vjekoslav;Pintar
"02-180-001";"0-0";Osnovna škola Mače;Vladimir;Grudenić
"14-060-504";"0-0";II. gimnazija Osijek;Vladimir;Minarik
"10-089-503";"0-0";Industrijsko-obrtnička škola Virovitica;Vladimir;Reider
"04-034-005";"0-0";Osnovna škola Grabrik;Darija;Begedin
"20-010-002";"0-0";II. osnovna škola Čakovec;Vinko;Grgić
"08-071-020";"0-0";Osnovna škola Vežica;Violeta;Nikolić
"01-032-002";"0-0";Osnovna škola Stjepana Basaričeka;Vlatka;Koletić
"16-426-002";"0-0";Osnovna škola Dr. Franjo Tuđman;Vlatka;Sirovica
"21-114-075";"0-0";Osnovna škola Grigora Viteza;Vlatka;Kovač
"21-114-523";"0-0";Škola za medicinske sestre Vrapče;Višnja;Vičić - Hudorović
"16-111-001";"0-0";Osnovna škola Ivana Kozarca Županja;Vladimir;Jozanović
"19-507-002";"0-0";Osnovna škola Gruda;Zdenka;Pivčić
"21-114-105";"0-0";Osnovna škola Vugrovec - Kašina;Vladimir;Vuger
"21-114-517";"0-0";Klasična gimnazija;Zdravka;Martinić-Jerčić
"21-114-532";"0-0";Geodetska škola;Zdravka;Šimić
"02-123-001";"0-0";Osnovna škola Janka Leskovara;Zdravka;Žiger
"14-388-001";"0-0";Osnovna škola Bilje;Vlatka;Hmelik
"06-037-502";"0-0";Obrtnička škola Koprivnica;Zlatko;Martić
"21-114-538";"0-0";Prirodoslovna škola Vladimira Preloga;Zlatko;Stić
"20-522-001";"0-0";Osnovna škola Goričan;Zlatko;Varošanec
"08-275-002";"0-0";Osnovna škola Hreljin;Zoran;Pavletić
"14-328-001";"0-0";Osnovna škola Hinka Juhna Podgorač;Zdenka;Vukomanović
"15-081-506";"0-0";Gimnazija Antuna Vrančića;Zoran;Smolić
"02-177-001";"0-0";Osnovna škola Konjščina;Zoran;Vuger
"15-081-508";"0-0";Industrijsko-obrtnička škola Šibenik;Zoran;Živković
"17-083-001";"0-0";Osnovna škola Majstora Radovana;Zorana;Brodarić
"04-056-501";"0-0";Obrtnička i tehnička škola Ogulin;Zrinka;Ceranić-Jurković
"11-324-001";"0-0";Osnovna škola Ivan Goran Kovačić;Zdravko;Barun
"21-114-047";"0-0";Osnovna škola Vukomerec;Zdravko;Dominik
"14-060-018";"0-0";Osnovna škola Ivana Filipovića;Zlatko;Kraljević
"21-114-078";"0-0";Osnovna škola Marina Držića;Zvonimir;Bićanić
"14-022-004";"0-0";Osnovna škola Josipa Antuna Ćolnića;Zvonko;Belvanović
"19-049-003";"0-0";Osnovna glazbena škola Metković;Zvonko;Knežević
"04-056-001";"0-0";Prva osnovna škola;Zvonko;Ranogajec
"19-018-003";"0-0";Osnovna škola Marina Držića;Zrinka;Capor
"11-077-001";"0-0";Osnovna škola Dobriša Cesarić;Zvjezdana;Krip
"17-126-029";"0-0";Osnovna škola Slatine;Željka;Ninčević
"04-213-001";"0-0";Osnovna škola Katarine Zrinski;Željka;Stojković
"13-063-001";"0-0";Osnovna škola Jurja Dalmatinca Pag;Željka;Zubović
"05-031-004";"0-0";Osnovna škola Metel Ožegović;Željkica;Hanžek-Paska
"19-049-002";"0-0";Osnovna škola don Mihovila Pavlinovića ;Žana;Dodig
"17-443-001";"0-0";Osnovna škola "Strožanac";Žana;Prižmić
"21-114-115";"0-0";Centar za autizam;Žarka;Klopotan
"01-094-001";"0-0";Osnovna škola Krunoslava Kutena;Žarko;Popović
"07-004-502";"0-0";Gimnazija Bjelovar;Želimir;Vujić
"09-455-501";"0-0";Srednja škola Plitvička jezera;Željka;Brozović
"01-020-501";"0-0";Srednja škola Dugo Selo;Darinka;Svetec
"21-114-551";"0-0";Obrtnička škola za osobne usluge;Darinka;Štampar Šmaguc
"11-064-501";"0-0";Srednja škola Pakrac;Dario;Čilić
"03-043-005";"0-0";Osnovna škola Zvonimira Franka;Dario;Duda
"21-114-079";"0-0";Osnovna škola Davorina Trstenjaka;Darko;Cindrić
"14-391-001";"0-0";Osnovna škola Ivana Kukuljevića;Darko;Kovač
"21-114-035";"0-0";Osnovna škola Ivana Gorana Kovačića;Darko;Kovačević
"20-523-001";"0-0";Osnovna škola Tomaša Goričanca Mala Subotica;Željka;Štampar Zamuda
"15-081-006";"0-0";Osnovna škola Vidici;Darko;Relja
"17-030-506";"0-0";Glazbena škola Dr. fra Ivan Glibotić - Imotski;Darko;Rimac
"06-255-002";"0-0";Osnovna škola Sidonije Rubido Erdody;Darko;Zvonar
"13-107-009";"0-0";Osnovna škola Zadarski otoci - Zadar;Davor;Barić
"18-069-504";"0-0";Škola primijenjenih umjetnosti i dizajna - Pula;Davor;Kliman
"21-114-032";"0-0";Osnovna škola Jordanovac;Davor;Krnjeta
"17-126-019";"0-0";Osnovna škola "Lokve-Gripe";Davor;Šimić
"13-055-001";"0-0";Osnovna škola Obrovac;Željko;Modrić
"16-426-501";"0-0";Srednja škola Ilok;Željko;Prskalo
"21-114-135";"0-0";Osnovna škola Špansko Oranice;Darko;Cesar
"15-081-002";"0-0";Osnovna škola Petra Krešimira IV.;Darko;Junaković
"04-079-501";"0-0";Srednja škola Slunj;Diana;Cindrić
"08-293-002";"0-0";Osnovna škola Drago Gervais;Dijana;Valentin
"17-473-001";"0-0";Osnovna škola Trilj;Davor;Hrgović
"08-282-001";"0-0";Osnovna škola Kraljevica;Davor;Juriša
"03-066-003";"0-0";Osnovna škola Dragutina Tadijanovića Petrinja;Davor;Miholjević
"17-057-001";"0-0";Osnovna škola Josip Pupačić;Davorka;Deur
"10-312-001";"0-0";Osnovna škola Mikleuš;Dragan;Kraljik
"04-034-002";"0-0";Osnovna škola Rečica;Dijana;Perišin
"04-212-001";"0-0";Osnovna škola Generalski Stol;Dijana;Zadrović
"17-093-501";"0-0";Srednja škola Tina Ujevića ;Drago;Mihaljević
"08-298-001";"0-0";Osnovna škola Mrkopalj;Dragutin;Crnić
"13-107-004";"0-0";Osnovna škola Šimuna Kožičića Benje;Dražen;Adžić
"14-060-505";"0-0";III. gimnazija Osijek;Dražen;Jakopović
"14-060-503";"0-0";I. gimnazija Osijek;Dražen;Đapić
"17-468-001";"0-0";Osnovna škola Supetar;Dubravka;Menjak
"21-114-086";"0-0";Osnovna škola Ive Andrića;Dubravka;Miklec
"16-096-005";"0-0";Osnovna škola Mitnica;Dubravka;Lemac
"21-114-501";"0-0";I. gimnazija;Dunja;Marušić Brezetić
