"sifra";"podsifra";"skola";"ime_ravnatelja";"prezime_ravnatelja"
"21-114-545";"0-0";Škola za grafiku, dizajn i medijsku produkciju;Dubravko;Deželić
"14-411-002";"0-0";Osnovna škola Bijelo Brdo;Dušan;Rađenović
"19-514-001";"0-0";Osnovna škola Otrići - Dubrave;Duško;Dominiković
"07-272-001";"0-0";Osnovna škola Berek;Dušica;Vunić
"16-096-503";"0-0";Tehnička škola Nikole Tesle;Đorđe;Lukić
"08-071-509";"0-0";Prva sušačka hrvatska gimnazija u Rijeci;Đudita;Franko
"01-108-002";"0-0";Osnovna škola Ljudevita Gaja;Đurđica;Šepac
"08-042-501";"0-0";Srednja škola Hrvatski kralj Zvonimir                                            ;Đurđica;Cvitkušić
"21-114-588";"0-0";Tehnička škola Ruđera Boškovića;Đurđica;Fuštar
"14-001-001";"0-0";Osnovna škola Šećerana;Đurđica;Petrović
"06-560-001";"0-0";Osnovna škola Kalnik;Đurđica;Sučić
"01-094-003";"0-0";Osnovna škola Marije Jurić Zagorke;Edina;Operta
"01-547-001";"0-0";Osnovna škola Bistra;Eduard;Kovačević
"09-026-005";"0-0";Osnovna škola Dr. Ante Starčević Pazarište - Klanac;Elizabeta;Starčević
"13-355-001";"0-0";Osnovna škola Poličnik;Elvis;Alić
"17-453-002";"0-0";Osnovna škola Josipa Jovića;Frano;Bilić-Prcić
"16-096-501";"0-0";Gimnazija Vukovar;Giana;Marović Zeko
"06-041-502";"0-0";Srednja škola "Ivan Seljanec" Križevci";Gordana;Juran-Ratković
"04-019-001";"0-0";Osnovna škola "Vladimir Nazor";Gordana;Krstulić
"05-086-002";"0-0";II. osnovna škola Varaždin;Ernest;Habek
"21-114-558";"0-0";Škola primijenjene umjetnosti i dizajna;Filip;Pintarić
"08-071-007";"0-0";Osnovna škola - Scuola elementare Gelsi;Gloria;Tijan
"08-071-501";"0-0";Strojarska škola za industrijska i obrtnička zanimanja;Gojko;Miletić
"21-114-136";"0-0";Osnovna škola Sesvetska Sela;Gordana;Vojnović
"04-062-001";"0-0";Osnovna škola "Slava Raškaj";Gordana;Basar
"01-109-001";"0-0";Osnovna škola Dragutina Domjanića;Gordana;Čosić
"06-037-001";"0-0";Osnovna škola Antun Nemčić Gostovinski;Gordana;Gazdić-Buhanec
"21-114-031";"0-0";Osnovna škola Markuševec;Gordana;Horvat
"08-071-511";"0-0";Gimnazija Andrije Mohorovičića Rijeka;Henry;Ponte
"11-323-001";"0-0";Osnovna škola fra Kaje Adžića Pleternica;Hrvoje;Galić
"05-086-504";"0-0";Elektrostrojarska škola;Igor;Kos
"10-317-001";"0-0";Osnovna škola Petra Preradovića;Igor;Maresić
"12-078-004";"0-0";Osnovna škola Đuro Pilar;Igor;Nikičić
"03-191-001";"0-0";Osnovna škola Mladost;Igor;Rožić
"18-069-010";"0-0";Osnovna škola Veli Vrh Pula;Ileana;Zahtila Blašković
"14-060-011";"0-0";Osnovna škola Grigor Vitez;Hrvoje;Brod
"21-114-519";"0-0";Zdravstveno učilište;Hrvoje;Odak
"15-081-501";"0-0";Ekonomska škola Šibenik;Igor;Friedrich
"21-114-518";"0-0";XVIII. gimnazija;Irena;Vajdovčić
"12-078-007";"0-0";Osnovna škola Ivana Brlić-Mažuranić;Irena;Holik
"14-393-001";"0-0";Osnovna škola Vladimir Nazor;Ilija;Pavić
"14-060-515";"0-0";Škola primijenjene umjetnosti i dizajna Osijek;Ina;Marić
"19-112-501";"0-0";Srednja škola fra Andrije Kačića Miošića;Ina;Žderić
"08-071-008";"0-0";Osnovna škola - Scuola elementare "San Nicolo" ";Iva;Bradaschia Kožul
"11-077-505";"0-0";Obrtnička škola;Iva;Šnajder
"16-427-002";"0-0";Osnovna škola Ane Katarine Zrinski;Ivan;Benković
"07-011-501";"0-0";Srednja škola Čazma;Irena;Pavlović
"18-006-502";"0-0";"Talijanska srednja škola - Scuola media superiore italiana "Leonardo da Vinci" Buje - Buie";Irena;Penko
"06-258-001";"0-0";Osnovna škola Molve;Ivan;Jaković
"04-034-508";"0-0";Tehnička škola Karlovac;Ivan;Janković
"14-022-001";"0-0";Osnovna škola Budrovci;Ivan;Jukić
"17-126-517";"0-0";Škola za dizajn, grafiku i održivu gradnju;Ivan;Kovačević
"17-030-504";"0-0";Tehnička škola u Imotskom;Ivan;Majić
"09-026-503";"0-0";Strukovna škola Gospić;Ivan;Orešković
"06-041-501";"0-0";Gimnazija Ivana Zakmardija Dijankovečkoga Križevci;Ivan;Peklić
"17-453-001";"0-0";Osnovna škola Ivana Gorana Kovačića;Ivan;Pleić
"03-076-502";"0-0";Industrijsko-obrtnička škola Sisak;Ivan;Vrbik
"08-071-023";"0-0";Osnovna škola "Srdoči";Ivan;Vukić
"16-088-502";"0-0";Gimnazija Matije Antuna Reljkovića;Ivana;Biljan
"15-416-001";"0-0";Osnovna škola Vodice;Ivana;Mikulandra
"13-027-527";"0-0";Srednja škola Gračac;Ivana;Jelinčić Lasić
"10-316-001";"0-0";Osnovna škola August Cesarec;Ivana;Simeunović
"12-341-001";"0-0";Osnovna škola Stjepan Radić Oprisavci;Ivana;Vukovarac
"09-300-001";"0-0";Osnovna škola Luke Perkovića Brinje;Ivana;Rajković
"17-126-516";"0-0";Industrijska škola;Ivana;Vojnović
"03-076-505";"0-0";Strukovna škola Sisak;Ivica;Beloglavec
"21-114-129";"0-0";Osnovna glazbena škola Rudolfa Matza;Ivica;Ivanović
"21-114-542";"0-0";Agronomska škola Zagreb;Ivica;Marinić
"09-026-001";"0-0";Osnovna škola dr. Jure Turića;Ivica;Radošević
"21-114-110";"0-0";Osnovna škola Sesvetski Kraljevec;Ivica;Vlašić
"03-043-004";"0-0";Osnovna škola Stjepana Kefelje;Ivica;Petrović
"05-242-001";"0-0";Osnovna škola Ljubešćica;Ivica;Rojc
"17-126-522";"0-0";Turističko-ugostiteljska škola, Split;Ivo;Bilić
"08-071-026";"0-0";Centar za odgoj i obrazovanje;Ivone;Šabarić Rubeša
"21-114-042";"0-0";Osnovna škola Frana Krste Frankopana;Jadranka;Bjelica
"13-358-001";"0-0";Osnovna škola Starigrad;Jadranka;Marasović
"14-385-001";"0-0";Osnovna škola Popovac;Jadranka;Sabljak
"13-107-005";"0-0";Osnovna škola Šime Budinića - Zadar;Jagoda;Galić
"21-114-017";"0-0";Osnovna škola Retkovec;Jako;Šuker
"17-460-001";"0-0";Osnovna škola don Mihovila Pavlinovića;Jakov;Batinović
"18-007-001";"0-0";Osnovna škola "Vazmoslav Gržalja";Jadranka;Bartolić Muzica
"14-060-003";"0-0";Osnovna škola Franje Krežme;Jadranka;Jurić
"21-114-549";"0-0";Drvodjeljska škola Zagreb;Jadranka;Pejčić
"03-202-001";"0-0";Osnovna škola Vladimir Nazor Topusko;Jana;Markulin
"08-071-506";"0-0";Prva riječka hrvatska gimnazija ;Jane;Sclaunich
"14-060-012";"0-0";Osnovna škola Tin Ujević;Jasenka;Vajdić
"21-114-049";"0-0";Osnovna škola Ante Kovačića;Jadranka;Salopek
"17-124-004";"0-0";Osnovna škola Bijaći;Jadranka;Šošić
"05-086-004";"0-0";IV. osnovna škola Varaždin;Jasmina;Dvorski
"16-438-002";"0-0";Osnovna škola Markušica;Jasmina;Maksić
"09-061-001";"0-0";Osnovna škola Zrinskih i Frankopana;Jasminka;Devčić
"14-050-001";"0-0";Osnovna škola Dore Pejačević Našice;Jasminka;Falamić
"17-470-001";"0-0";Osnovna škola Petra Hektorovića Stari Grad;Jasminka;Pakušić
"08-071-032";"0-0";Katolička osnovna škola Josip Pavlišić;Jasna;Buketa
"12-343-001";"0-0";Osnovna škola Matija Antun Relković;Jasna;Butumović
"05-086-003";"0-0";III. osnovna škola Varaždin;Jasenka;Martinčević
"04-034-013";"0-0";Osnovna škola "Braća Seljan";Jasmina;Budinski
"13-107-002";"0-0";Osnovna škola Krune Krstića - Zadar;Jasmina;Matešić
"17-057-005";"0-0";Osnovna glazbena škola Lovro pl. Matačić Omiš;Jasminko;Šetka
"13-107-515";"0-0";Poljoprivredna, prehrambena i veterinarska škola Stanka Ožanića;Jelena;Gulan
"15-081-507";"0-0";Tehnička škola;Josip;Belamarić
"01-032-501";"0-0";Srednja škola Ivan Švear Ivanić-Grad  ;Josipa;Ilić
"16-096-004";"0-0";Osnovna škola Nikole Andrića;Josipa;Kotromanović Sauka
"12-078-507";"0-0";Srednja medicinska škola;Jelena;Jelinić-Bošnjak
"17-126-510";"0-0";Nadbiskupijska klasična gimnazija Don Frane Bulić - s pravom javnosti;Don Josip;Dukić
"21-114-089";"0-0";Osnovna škola Trnsko;Josip;Petrović
"19-049-502";"0-0";Gimnazija Metković;Jozo;Jurković
"05-086-001";"0-0";I. osnovna škola Varaždin;Karmen;Hans - Jalšovec
"21-114-037";"0-0";Osnovna škola Dr. Ivan Merz;Jurica;Šperanda
"19-507-001";"0-0";Osnovna škola Cavtat;Kate;Kukuljica
"17-083-502";"0-0";Srednja strukovna škola Blaž Jurjev Trogiranin;Karmen;Sinanović
"14-401-001";"0-0";Osnovna škola Josipa Jurja Strossmayera;Katica;Vračević
"03-076-503";"0-0";Srednja škola Viktorovac;Koraljka;Porić
"18-068-501";"0-0";Srednja škola Mate Balote;Krešimir;Bronić
"02-170-001";"0-0";Osnovna škola Đurmanec;Krešimir;Kralj
"21-114-074";"0-0";Osnovna škola Jure Kaštelana;Krešimir;Supanc
"06-037-002";"0-0";Osnovna škola "Braća Radić";Krešo;Grgac
"19-018-505";"0-0";Gimnazija Dubrovnik;Katarina;Tolja
"16-433-002";"0-0";Osnovna škola Vladimir Nazor;Katica;Novoselac
"21-114-109";"0-0";Osnovna škola Sesvete;Katica;Sesjak
"14-387-002";"0-0";Osnovna škola Zmajevac;Kinga;Kolar
"11-077-002";"0-0";Osnovna škola Julija Kempfa;Kornelija;Sabljak
"17-455-001";"0-0";Osnovna škola Ivan Leko;Krešimir;Bajić
"08-009-501";"0-0";Srednja škola Vladimir Nazor;Kristijan;Rajšel
"10-311-001";"0-0";Osnovna škola Vladimira Nazora;Lareta;Žubrinić
"07-011-001";"0-0";Osnovna škola Čazma;Lidija;Osman
"01-109-002";"0-0";Osnovna škola Ksavera Šandora Đalskog;Lidija;Smrndić
"05-231-001";"0-0";Osnovna škola Sračinec;Lidija;Valec
"17-448-001";"0-0";Osnovna škola kneza Branimira;Lidija;Zekan
"06-251-001";"0-0";Osnovna škola "Prof. Blaž Mađer", Novigrad Podravski     ";Lidija;Peroš
"21-114-006";"0-0";Osnovna škola Izidora Kršnjavoga;Lidija;Sosa Šimenc
"08-058-503";"0-0";Obrtnička škola;Loredana;Grdinić
"19-038-501";"0-0";Srednja škola Petra Šegedina;Lovre;Botica
"18-499-002";"0-0";Osnovna škola Juršići;Luciana;Butković
"12-078-504";"0-0";Industrijsko-obrtnička škola;Luka;Mladinović
"21-114-098";"0-0";Glazbena škola Zlatka Grgoševića;Ljerka;Pašalić
"13-356-001";"0-0";Osnovna škola Braća Ribar                                     ;Luzarko;Novaković
"14-050-002";"0-0";Osnovna škola Ivana Brnjika Slovaka;Ljerka;Ćorković
"16-430-001";"0-0";Osnovna škola Antun Gustav Matoš Tovarnik;Ljiljana;Bandić
"21-114-137";"0-0";Osnovna škola Sesvetska Sopnica;Ljiljana;Benčec Miklečić
"01-166-001";"0-0";Osnovna škola Jakovlje;Ljiljana;Klepac
"12-051-501";"0-0";Gimnazija Nova Gradiška;Ljiljana;Ptačnik
"21-114-546";"0-0";Nadbiskupska klasična gimnazija s pravom javnosti;Ljuba;Duvnjak
"21-114-522";"0-0";Škola za primalje;Maja;Feil Ostojić
"21-114-004";"0-0";Osnovna škola Šestine;Ljubomir;Špiljar
"21-114-511";"0-0";XI. gimnazija;Maja;Sečić-Kopinč
"14-060-513";"0-0";Obrtnička škola Osijek;Maja;Zorić
"21-114-055";"0-0";Osnovna škola Gornje Vrapče;Maja;Zrilić
"21-114-059";"0-0";Osnovna škola kralja Tomislava;Maja;Car
"01-020-004";"0-0";Osnovna škola Josipa Zorića;Mara;Mamuza
"17-075-503";"0-0";Tehnička i industrijska škola Ruđera Boškovića u Sinju;Marica;Barać
"04-211-001";"0-0";Osnovna škola Draganići;Marica;Jurčić
"13-063-501";"0-0";Srednja škola Bartula Kašića;Marija;Pećirko
"07-267-001";"0-0";Osnovna škola Sirač;Marija;Pavičić
"17-124-501";"0-0";Srednja škola "Braća Radić"      ";Marija;Kezele
"11-077-003";"0-0";Osnovna škola Antuna Kanižlića;Marija;Samardžija
"14-405-002";"0-0";Osnovna škola Mate Lovraka;Marija;Poje
"12-329-001";"0-0";Osnovna škola Antun Matija Reljković;Marija;Rosandić
"07-012-002";"0-0";Češka osnovna škola Jana Amosa Komenskog - Česká základní škola Jana Amose Komenského;Marija;Valek
"02-189-001";"0-0";Osnovna škola Ante Kovačića;Marijan;Posarić
"21-114-020";"0-0";Osnovna škola Granešina;Marijan;Vulić
"18-504-002";"0-0";Osnovna škola Fažana;Marijana;Starčić
"15-081-502";"0-0";Prometno-tehnička škola Šibenik;Marijan;Bilić
"19-018-506";"0-0";Medicinska škola Dubrovnik;Marijana;Kulić
"17-452-001";"0-0";Osnovna škola Tin Ujević;Marijo;Karin
"13-354-001";"0-0";Osnovna škola Vladimira Nazora - Škabrnje;Marin;Pavičić
"16-433-001";"0-0";Osnovna škola Josipa Lovretića;Marina;Beuk
"14-050-004";"0-0";Osnovna glazbena škola Kontesa Dora            ;Marina;Kopri
"14-022-007";"0-0";Osnovna škola Satnica Đakovačka;Mario;Plavčić
"05-086-007";"0-0";Centar za odgoj i obrazovanje Tomislav Špoljar;Marin;Vučić
"17-448-003";"0-0";Osnovna škola braće Radića                ;Marin;Vuletin
"16-088-005";"0-0";Osnovna škola Ivana Mažuranića;Marina;Markić
"17-126-005";"0-0";Osnovna škola Manuš-Split  ;Marita;Guć
"13-107-516";"0-0";Škola primijenjene umjetnosti i dizajna;Marjana;Bakmaz
"14-001-502";"0-0";Prva srednja škola Beli Manastir;Marko;Ilijašev
"17-030-001";"0-0";Osnovna škola Stjepan Radić;Marko;Mendeš
"01-087-010";"0-0";Osnovna škola Šćitarjevo;Mario;Ivić
"14-389-001";"0-0";Osnovna škola Draž;Mato;Barišić
"03-039-001";"0-0";Osnovna škola Davorina Trstenjaka;Medina;Omerović Pužar
"13-107-001";"0-0";Osnovna škola Stanovi;Markica;Perić
"14-411-001";"0-0";Osnovna škola Dalj;Marko;Stanić
"01-073-005";"0-0";Osnovna škola Nova škola;Martina;Čretni
"02-035-001";"0-0";Osnovna škola Antuna Mihanovića;Melita;Ulama
"05-236-003";"0-0";Osnovna škola Izidora Poljaka, Višnjica;Martina;Vusić
"17-126-013";"0-0";Osnovna škola Plokite;Mate;Vuković
"16-088-501";"0-0";Tehnička škola Ruđera Boškovića Vinkovci;Mate;Vukušić
"12-078-506";"0-0";Ekonomsko-birotehnička škola;Mato;Čaklovac
"18-044-005";"0-0";Umjetnička škola Matka Brajše Rašana;Melita;Lasek Satterwhite
"08-071-502";"0-0";Srednja talijanska škola - Rijeka Scuola media superiore Italiana - Fiume  ;Michele;Scalembra
"01-108-004";"0-0";Osnovna škola Kupljenovo;Mihaela;Dolinar
"01-073-001";"0-0";Osnovna škola Bogumila Tonija;Milena;Kolarec
"17-469-001";"0-0";Osnovna škola Milna;Milka;Restović
"15-036-503";"0-0";Srednja strukovna škola kralja Zvonimira ;Milivoj;Ilić
"14-001-003";"0-0";Umjetnička škola Beli Manastir;Miloš;Grubić
"17-126-016";"0-0";Osnovna škola Ravne njive - Neslanovac Split;Miljenko;Bitanga
"18-485-001";"0-0";Osnovna škola Ivan Goran Kovačić Čepić;Mirela;Vidak
"21-114-592";"0-0";Glazbeno učilište Elly Bašić;Mirela;Buchberger Karlo
"17-450-001";"0-0";Osnovna škola Grohote;Mirela;Mijić
"16-096-006";"0-0";Osnovna škola Josipa Matoša;Mirela;Posarić
"17-126-002";"0-0";Osnovna škola Dobri;Mirjana;Dodig
"05-236-002";"0-0";Osnovna škola Ivana Rangera, Kamenica;Mirjana;Posavec
"21-114-051";"0-0";Osnovna škola Dragutina Tadijanovića;Mirjana;Sajko
"04-091-001";"0-0";Osnovna škola Vojnić;Mirjana;Stojković
"21-114-054";"0-0";Osnovna škola Tituša Brezovačkog;Mirjana;Torer
"21-114-015";"0-0";Osnovna škola Petra Zrinskog;Mirjana;Jermol
"01-073-501";"0-0";Ekonomska, trgovačka i ugostiteljska škola;Mirjana;Kroflin
"19-508-001";"0-0";Osnovna škola Ston;Mirko;Mamić
"12-338-001";"0-0";Osnovna škola Ivan Meštrović;Miroslav;Zmaić
"08-013-001";"0-0";Osnovna škola Ivana Gorana Kovačića;Mladen;Bolf
"21-114-091";"0-0";Osnovna škola Mladost;Mladen;Konjević
"01-094-501";"0-0";Srednja škola Vrbovec;Mirjana;Pušić
"13-351-001";"0-0";Osnovna škola Stjepana Radića - Bibinje;Mirka;Sikirić
"17-030-003";"0-0";Osnovna škola "Josip Vergilij Perić";Monika;Pavlović Grabovac
"17-448-002";"0-0";Osnovna škola Neorić - Sutina;Nada;Dundović
"16-426-001";"0-0";Osnovna škola Julija Benešića;Miroslav;Bošnjak
"17-471-001";"0-0";Osnovna škola Dr. fra Karlo Balić;Nada;Utrobičić
"21-114-132";"0-0";Osnovna škola Brestje;Miše;Kutleša
"20-528-001";"0-0";Osnovna škola Ivana Gorana Kovačića Sveti Juraj na Bregu;Mladen;Beuk
"18-069-006";"0-0";Osnovna škola Kaštanjer Pula;Nada;Crnković
"05-244-001";"0-0";Osnovna škola Visoko;Nada;Horvat
"02-183-501";"0-0";Srednja škola Oroslavje;Natalija;Mučnjak
"17-126-024";"0-0";Osnovna škola Visoka;Natalija;Radić
"05-227-002";"0-0";Osnovna škola Beletinec;Nataša;Fadiga
"20-010-003";"0-0";III. osnovna škola Čakovec;Nataša;Hajdinjak
"17-029-001";"0-0";Osnovna škola Hvar;Nada;Jeličić
"07-004-504";"0-0";Komercijalna i trgovačka škola Bjelovar;Nataša;Vibiral
"08-071-003";"0-0";Osnovna škola Centar;Nedjeljka;Debelić
"04-034-504";"0-0";Prirodoslovna škola Karlovac;Nenad;Klasan
"18-491-001";"0-0";Osnovna škola Marčana;Nensi;Kaluđerović
"19-509-001";"0-0";Osnovna škola Orebić;Nenad;Menkadžiev
"21-114-553";"0-0";Industrijska strojarska škola;Nenad;Pavlinić
"07-004-511";"0-0";Glazbena škola Vatroslava Lisinskog Bjelovar;Nevenka;Presečan Arvay
"17-467-001";"0-0";Osnovna škola Petra Kružića Klis;Neven;Tešija
"21-114-591";"0-0";Glazbena škola Pavla Markovca;Niko;Marušić
"21-114-515";"0-0";XV. gimnazija;Nikola;Dmitrović
"05-222-001";"0-0";Osnovna škola Cestica;Nevenka;Turščak
"07-004-004";"0-0";IV. osnovna škola Bjelovar;Nikola;Margetić
"08-292-001";"0-0";Osnovna škola Maria Martinolića;Olivela;Franko
"21-114-021";"0-0";Osnovna škola Ivana Mažuranića;Nikola;Šandrk
"17-075-003";"0-0";Osnovna škola fra Pavla Vučkovića;Nikola;Vučković
"18-069-501";"0-0";Škola za turizam, ugostiteljstvo i trgovinu;Orhideja;Petković
"12-337-002";"0-0";Osnovna škola Ljudevit Gaj;Petar;Delić
"11-321-001";"0-0";Osnovna škola Vilima Korajca;Nino;Diklić
"17-126-012";"0-0";Osnovna škola Blatine - Škrape;Nives;Ruščić
"21-114-046";"0-0";Osnovna škola Dragutina Kušlana;Petra;Štingl Raić
"18-502-001";"0-0";Osnovna škola Jože Šurana Višnjan;Predrag;Brkić
"05-229-001";"0-0";Osnovna škola Trnovec;Radmila;Sačić
"21-114-506";"0-0";Gornjogradska gimnazija;Radovan;Librić
"02-168-001";"0-0";Osnovna škola Vladimir Nazor Budinščina;Renata;Kreber-Mikšaj
"03-076-006";"0-0";Osnovna škola Galdovo;Petar;Zelić
"20-529-001";"0-0";Osnovna škola Sveti Martin na Muri;Petra;Novinščak
"19-018-005";"0-0";Osnovna škola Antuna Masle - Orašac;Roberta;Soko
"14-411-501";"0-0";Srednja škola Dalj;Rajko;Lukić
"05-236-001";"0-0";Osnovna škola Ante Starčevića;Ratko;Tomić
"15-081-511";"0-0";Glazbena škola Ivana Lukačića;Ruža;Raguž Cukrov
"20-010-505";"0-0";Gospodarska škola;Renato;Vinko
"12-342-001";"0-0";Osnovna škola Matija Gubec Cernik;Reza;Benković
"07-012-502";"0-0";Gimnazija Daruvar;Romana;Herout
"18-491-002";"0-0";Osnovna škola Vladimira Nazora - Krnica;Romana;Percan
"09-074-001";"0-0";Osnovna škola Silvija Strahimira Kranjčevića Senj;Rosanda;Bilović
"16-096-504";"0-0";Srednja strukovna škola Marko Babić;Rudolf;Tomić
"21-114-088";"0-0";Osnovna škola Zapruđe;Ružica;Vitman Sović
"02-178-001";"0-0";Osnovna škola Krapinske Toplice;Samson;Štibohar
"18-069-508";"0-0";Tehnička škola Pula;Sandra;Balde
"14-060-514";"0-0";Trgovačka i komercijalna škola Davor Milas;Sandra;Brajnović
"08-279-001";"0-0";Osnovna škola "Milan Brozović";Sandra;Krpan
"20-527-002";"0-0";Osnovna škola Donji Kraljevec;Sandra;Vlahek
"17-126-006";"0-0";Osnovna škola Spinut;Sanja;Čagalj
"14-060-506";"0-0";Medicinska škola Osijek;Sanja;Dravinski
"05-232-001";"0-0";Osnovna škola Franje Serta Bednja;Sanja;Majcen
"14-402-001";"0-0";Osnovna škola Josipa Kozarca;Ružica;Primorac
"15-415-001";"0-0";Osnovna škola Vjekoslava Kaleba;Sanda;Crvelin
"20-010-501";"0-0";Gimnazija Josipa Slavenskog Čakovec;Sandra;Breka-Ovčar
"18-068-005";"0-0";Umjetnička škola Poreč;Sanjica Sara;Radetić
"01-033-001";"0-0";Osnovna škola Ljubo Babić;Sanja;Sertić
"17-126-014";"0-0";Osnovna škola Kman - Kocunar;Sanja;Sinovčić
"13-107-502";"0-0";Gimnazija Vladimira Nazora;Sandra;Šango
"04-019-002";"0-0";Osnovna škola "Ivan Goran Kovačić";Sanja;Ferkula
"20-010-008";"0-0";Umjetnička škola Miroslav Magdalenić Čakovec;Senka;Bašek-Šamec
"07-012-501";"0-0";Tehnička škola Daruvar;Sanja;Klubička
"08-071-011";"0-0";Osnovna škola "Kantrida";Sanja;Kvaternik Hren
"17-126-521";"0-0";Zdravstvena škola;Sanja;Perić
"02-183-001";"0-0";Osnovna škola Oroslavje;Sanja;Šakoronja
"18-501-001";"0-0";Osnovna škola Marije i Line, Scuola elementare "Marija i Lina"           ";Sanja;Zakinja
"19-018-001";"0-0";Osnovna škola Marina Getaldića;Silvana;Bjelovučić
"17-029-501";"0-0";Srednja škola Hvar;Saša;Paduan
"08-071-513";"0-0";Tehnička škola, Rijeka;Serđo;Jadrić
"08-042-001";"0-0";Osnovna škola Fran Krsto Frankopan Krk;Serđo;Samblić
"07-024-001";"0-0";Osnovna škola Garešnica;Slaven;Marenić
"21-114-003";"0-0";Osnovna škola Miroslava Krleže;Silvana;Galinović
"20-010-001";"0-0";I. osnovna škola Čakovec;Siniša;Stričak
"12-078-005";"0-0";Osnovna škola Bogoslav Šulek;Slavica;Đurđević
"02-175-001";"0-0";Osnovna škola Lijepa naša;Snježana;Romić
"07-028-001";"0-0";Osnovna škola Ivana Nepomuka Jemeršića;Snježana;Šeliš
"16-111-501";"0-0";Obrtničko-industrijska škola, Županja;Slavko;Šokičić
"04-034-501";"0-0";Gimnazija Karlovac;Snježana;Štranjgar
"03-043-003";"0-0";Osnovna škola Vladimira Vidrića;Snježana;Coha
"15-081-001";"0-0";Osnovna škola Fausta Vrančića;Snježana;Ćaleta
"05-086-507";"0-0";Strojarska i prometna škola;Snježana;Klarić
"20-533-001";"0-0";Osnovna škola Jože Horvata Kotoriba;Snježana;Matoš
"04-034-513";"0-0";Glazbena škola Karlovac;Snježana;Mrljak
"06-250-001";"0-0";Osnovna škola Mihovil Pavlek Miškina Đelekovec;Sonja;Vuljak
"13-107-003";"0-0";Osnovna škola Petra Preradovića;Stanka;Martinac Pera
"12-078-002";"0-0";Osnovna škola Antun Mihanović;Snježana;Vinarić
"21-114-560";"0-0";Športska gimnazija;Stipe;Perišić
"06-255-001";"0-0";Osnovna škola Sveti Petar Orehovec;Stjepan;Lučki
"05-237-001";"0-0";Osnovna škola Martijanec;Sonja;Huzjak
"21-114-504";"0-0";IV. gimnazija;Sonja;Kamčev Bačani
"14-060-520";"0-0";Glazbena škola Franje Kuhača Osijek;Sunčana;Bašić
"21-114-026";"0-0";Osnovna škola Antuna Branka Šimića;Stanka;Pupić
"08-013-003";"0-0";Osnovna glazbena škola Ive Tijardovića Delnice;Suzana;Valković Brašnić
"14-085-501";"0-0";Srednja škola Valpovo;Svjetlana;Kalpić
"01-087-004";"0-0";Osnovna škola Nikole Hribara;Stjepan;Maravić
"07-024-003";"0-0";Osnovna škola Trnovitički Popovac;Stjepan;Popić
"07-269-001";"0-0";Osnovna škola Ivanska;Sunčica;Đuričić-Kocijan
"18-069-004";"0-0";Osnovna škola -  Scuola elementare Giuseppina Martinuzzi Pula-Pola;Susanna;Cerlon
"17-445-501";"0-0";Klesarska škola Pučišća;Tamara;Plastić
"03-206-001";"0-0";Osnovna škola Ivo Kozarčanin;Suzana;Vogrinc
"05-053-002";"0-0";Osnovna škola "Podrute";Štefek;Vincek
"18-068-502";"0-0";Turističko-ugostiteljska škola Antona Štifanića Poreč;Tatjana;Gulić Pisarević
"17-057-501";"0-0";Srednja škola Jure Kaštelan;Tereza;Srdelić
"11-327-002";"0-0";Osnovna škola Grigora Viteza Poljana;Tibor;Nagy
"08-276-001";"0-0";Osnovna škola Čavle;Tanja;Stanković
"04-019-501";"0-0";Srednja škola Duga Resa;Tanja;Škrak
"12-348-001";"0-0";Osnovna škola Ante Starčevića;Tihomir;Batalo
"13-107-513";"0-0";Strukovna škola Vice Vlatkovića;Tihomir;Tomčić
"02-097-001";"0-0";Osnovna škola Ksavera Šandora Gjalskog;Tomislav;Polanović
"04-079-001";"0-0";Osnovna škola Slunj;Tome;Cvitković
"19-511-001";"0-0";Osnovna škola Blato;Tonći;Padovan
"06-041-504";"0-0";Srednja gospodarska škola Križevci;Toni;Svoboda
"21-114-541";"0-0";Škola za cestovni promet;Tomislav;Ćurković
