"sifra";"podsifra";"skola";"ime_ravnatelja";"prezime_ravnatelja"
"14-412-001";"0-0";Osnovna škola Antunovac;Tomislav;Duk
"06-257-001";"0-0";Osnovna škola "Grigor Vitez";Tomislav;Hanžeković
"05-233-001";"0-0";Osnovna škola Gustav Krklec Maruševec;Tomislav;Vincek
"17-093-001";"0-0";Osnovna škola Vrgorac;Tonći;Tolić
"05-226-001";"0-0";Osnovna škola Petrijanec;Valerija;Paljak
"07-012-504";"0-0";Glazbena škola Brune Bjelinskog Daruvar;Vanda;Cegledi
"21-114-093";"0-0";Osnovna škola Odra;Vatroslav;Gabrić
"01-087-504";"0-0";Zrakoplovna tehnička škola Rudolfa Perešina;Vedran;Šarac
"03-043-002";"0-0";Osnovna škola Mate Lovraka;Vedrana;Banda
"03-066-004";"0-0";Osnovna škola Ivan Goran Kovačić;Valentina;Vujnović
"19-038-001";"0-0";Osnovna škola Petra Kanavelića;Velebit;Veršić
"07-273-001";"0-0";Osnovna škola Slavka Kolara;Vera;Obrovac
"14-016-001";"0-0";Osnovna škola August Harambašić;Vedran;Aladić
"17-125-004";"0-0";Osnovna škola kralja Zvonimira;Vedrana;Propadalo
"17-126-512";"0-0";Komercijalno-trgovačka škola Split;Velimir;Ćurčija
"02-167-501";"0-0";Srednja škola Bedekovčina;Vera;Hrvoj
"13-360-002";"0-0";Osnovna škola Privlaka;Verica;Škibola
"21-114-631";"0-0";Gimnazija Marul;Veronika;Javor
"17-126-525";"0-0";Glazbena škola Josipa Hatzea;Vesna;Alebić
"05-241-001";"0-0";Osnovna škola Breznički Hum;Vesna;Ivančan
"17-125-003";"0-0";Osnovna škola kraljice Jelene;Vesna;Ružić
"01-087-501";"0-0";Ekonomska škola Velika Gorica;Vesna;Brkljačić
"21-114-568";"0-0";Ženska opća gimnazija Družbe sestara milosrdnica - s pravom javnosti;Vesna;Dinjar, S. Danijela
"01-151-001";"0-0";Osnovna škola Ivana Perkovca;Vesna;Javor
"21-114-024";"0-0";Osnovna škola Čučerje;Vesna;Orešković
"07-270-001";"0-0";Osnovna škola Štefanje;Vesna;Pavlinec-Kolarić
"03-076-004";"0-0";Osnovna škola Braća Ribar                                     ;Vesna;Šebek
"14-060-008";"0-0";Osnovna škola Vijenac;Vesna;Vrbošić
"16-439-001";"0-0";Osnovna škola Trpinja;Vesna;Vujić
"21-114-162";"0-0";Osnovna škola Središće;Violeta;Vragotuk
"05-086-509";"0-0";Graditeljska, prirodoslovna i rudarska škola;Vesna;Vrček
"21-114-521";"0-0";Škola za medicinske sestre Vinogradska;Višnja;Pranjić
"03-076-005";"0-0";Osnovna škola Viktorovac;Višnja;Tadić
"12-078-505";"0-0";Tehnička škola;Vikica;Lukić
"08-295-002";"0-0";Osnovna škola Jurja Klovića Tribalj;Vilma Renate;Car Katnić
"17-126-017";"0-0";Osnovna škola Sućidar;Vlade;Dragun
"20-608-001";"0-0";Osnovna škola Petar Zrinski Šenkovec;Vladimir;Novak
"14-060-510";"0-0";Tehnička škola i prirodoslovna gimnazija Ruđera Boškovića;Vlasta;Opačak
"14-050-003";"0-0";Osnovna škola kralja Tomislava;Vlatka;Zahirović
"04-217-001";"0-0";Osnovna škola Plaški;Vlatko;Kulić
"17-126-001";"0-0";Osnovna škola Marjan;Zdenka;Barović
"01-073-504";"0-0";Glazbena škola Ferdo Livadić;Zdenka;Merčep
"06-037-501";"0-0";"Gimnazija " Fran Galović" Koprivnica";Vjekoslav;Robotić
"01-163-001";"0-0";Osnovna škola Gradec;Vlado;Starešec
"14-060-016";"0-0";Osnovna škola Josipovac;Vlatka;Mihaljević
"04-034-010";"0-0";Centar za odgoj i obrazovanje djece i mladeži;Volodymyr;Kubinskyy
"07-565-001";"0-0";Osnovna škola Trnovitica;Zdravko;Ređep
"02-189-501";"0-0";Srednja škola Zlatar;Zdenka;Rogina
"18-065-001";"0-0";Osnovna škola Vladimira Nazora Pazin;Zdenka;Turkalj-Čohilj
"02-167-002";"0-0";Osnovna škola Stjepana Radića Brestovec Orehovički;Zdenko;Kobeščak
"12-078-001";"0-0";Osnovna škola Ivan Goran Kovačić;Zlatko;Bagarić
"05-086-502";"0-0";Druga gimnazija Varaždin;Zdravka;Grđan
"14-384-001";"0-0";Osnovna škola "Matija Gubec" ";Zdravko;Pavlinić
"14-022-502";"0-0";Gimnazija A.G.Matoša;Zlatko;Mrkić
"21-114-540";"0-0";Poštanska i telekomunikacijska škola;Zlatko;Sviben
"11-077-504";"0-0";Tehnička škola;Zoran;Galić
"07-268-001";"0-0";Osnovna škola u Đulovcu;Zlatica;Kovačić
"01-199-001";"0-0";Osnovna škola Milke Trnine;Zlatko;Hasan
"10-059-501";"0-0";Srednja škola "Stjepan Ivšić";Zorislav;Milković
"17-451-001";"0-0";Osnovna škola Dinka Šimunovića;Zorka;Buljac
"04-210-001";"0-0";Osnovna škola Cetingrad;Zorka;Cindrić
"17-124-002";"0-0";Osnovna škola kneza Trpimira;Zoran;Blažević
"21-114-001";"0-0";Osnovna škola Ivana Gundulića;Zoran;Čorkalo
"12-349-001";"0-0";Osnovna škola Ivana Gorana Kovačića;Zrinka;Dejanović
"09-302-003";"0-0";Osnovna škola Anž Frankopan Kosinj;Zrinka;Vukelić
"03-195-002";"0-0";Osnovna škola Zorke Sever;Zvjezdana;Martinec
"15-081-002";"0-0";Osnovna škola Petra Krešimira IV.;Žana;Lasinović Klarić
"08-043-001";"0-0";Osnovna škola Omišalj;Žarko;Žarković
"03-076-001";"0-0";Osnovna škola Ivana Kukuljevića Sisak;Željka;Birač
"21-114-510";"0-0";X. gimnazija Ivan Supek;Željka;Frković
"12-339-001";"0-0";Osnovna škola Ivan Filipović;Željko;Flidr
"21-114-114";"0-0";Centar za odgoj i obrazovanje Goljak;Željko;Kranjec
"08-071-025";"0-0";Osnovna škola Pehlin;Željko;Šimunić
"17-047-503";"0-0";Glazbena škola Makarska;Željko;Vlaho
"17-449-001";"0-0";Osnovna škola Jesenice;Živko;Dropuljić
"21-114-025";"0-0";Osnovna škola Vjenceslava Novaka;Žarko;Ćorić
"03-202-501";"0-0";Srednja škola Topusko;Željka;Gajdek
"05-239-001";"0-0";Osnovna škola Veliki Bukovec;Željka;Marković-Bilić
"21-114-160";"0-0";Osnovna škola Ivanja Reka;Željko;Burcar
"14-050-501";"0-0";Srednja škola Isidora Kršnjavoga Našice;Željko;Filjak
"21-114-023";"0-0";Osnovna škola Marije Jurić Zagorke;Željko;Kelava
"20-504-001";"0-0";Osnovna škola dr. Vinka Žganca Vratišinec;Željko;Maček
"15-081-009";"0-0";Osnovna škola Brodarica;Maja;Morić
"20-532-001";"0-0";Osnovna škola Domašinec;Martina;Kivač
"12-331-001";"0-0";Osnovna škola Viktor Car Emin;Mirta;Degmečić
"05-031-503";"0-0";Centar za odgoj i obrazovanje pri Odgojnom domu Ivanec;Elvis;Gotal
"21-114-598";"0-0";"Srpska pravoslavna opća gimnazija Kantakuzina-Katarina Branković ustanova "s pravom javnosti";Slobodan;Lalić
"07-004-002";"0-0";II. osnovna škola Bjelovar;Ines;Kapša
"18-006-002";"0-0";"Talijanska osnovna škola Scuola elementare italiana "Edmondo de Amicis" Buje Buie       ";Katia;Šterle
"18-496-001";"0-0";Osnovna škola - Scuola elementare Milana Šorga Oprtalj - Portole;Ljubica;Puškar
"16-088-507";"0-0";Srednja strukovna škola Vinkovci;Domagoj;Bujadinović
"20-010-004";"0-0";Osnovna škola Vladimira Nazora;Bruno;Matotek
"11-319-001";"0-0";Osnovna škola Stjepana Radića Čaglin;Slađana;Švajda
"14-387-001";"0-0";Osnovna škola Kneževi Vinogradi;Ivica;Prgomet
"01-087-006";"0-0";Osnovna škola Velika Mlaka;Zrinka;Šućur
"17-126-032";"0-0";Osnovna škola Žnjan-Pazdigrad;Željko;Jurin
"08-008-003";"0-0";Osnovna škola Zvonka Cara;Desiree;Pečaver
"18-072-503";"0-0";Strukovna škola Eugena Kumičića Rovinj - Scuola di formazione professionale Eugen Kumičić Rovigno;Emil;Nimčević
"07-266-001";"0-0";Osnovna škola Dežanovac;Zoran;Činčak
"08-071-001";"0-0";Osnovna škola - Scuola elementare Belvedere;Denis;Stefan
"05-031-501";"0-0";Srednja škola Ivanec;Lidija;Kozina
"08-071-505";"0-0";Ekonomska škola Mije Mirkovića Rijeka;Nataša;Jokić Nastasić
"03-021-001";"0-0";Osnovna škola Dvor;Klara;Pereković
"07-262-001";"0-0";Osnovna škola Veliko Trojstvo;Sanja;Vranješević
"17-458-001";"0-0";Osnovna škola Ante Anđelinović;Tina;Mihaljević
"17-468-501";"0-0";Srednja škola Brač;Doris;Mazija
"05-086-005";"0-0";V. osnovna škola Varaždin;Mario;Šipek
"08-071-522";"0-0";Salezijanska klasična gimnazija - s pravom javnosti;Dragutin;Detić
"10-067-002";"0-0";Osnovna škola Josipa Kozarca;Ksenija;Vujanović-Juras
"10-089-004";"0-0";Centar za odgoj, obrazovanje i rehabilitaciju Virovitica;Margarita;Kovačević
"19-018-514";"0-0";Umjetnička škola Luke Sorkočevića Dubrovnik;Slobodan;Begić
"01-151-002";"0-0";Osnovna škola Ivane Brlić-Mažuranić;Goran;Hotko
"18-505-001";"0-0";Osnovna škola Vladimira Nazora;Debora;Cukola Zeneral
"10-317-501";"0-0";Srednja škola Stjepana Sulimanca;Josip;Ivoš
"14-060-006";"0-0";Osnovna škola Mladost;Josip;Jukić
"08-278-001";"0-0";Osnovna škola Jelenje - Dražice;Dejana;Paškvan-Žeželj
"01-087-007";"0-0";Osnovna škola Novo Čiče;Sanja;Povoljnjak
"15-414-001";"0-0";Osnovna škola Skradin;Diana;Gaši
"07-024-501";"0-0";Srednja škola "August Šenoa" Garešnica";Robert;Kelečić
"16-442-001";"0-0";Osnovna škola Mijat Stojanović;Đurđica;Babić
"01-087-001";"0-0";Osnovna škola Eugena Kvaternika;Monika;Brleković
"16-436-003";"0-0";Osnovna škola Slakovci;Zvonimir;Markota
"17-030-503";"0-0";Ekonomska škola;Željko;Đuzel
"08-071-022";"0-0";Osnovna škola Ivana Zajca;Josipa;Gračanin
"21-114-597";"0-0";Islamska gimnazija dr. Ahmeda Smajlovića;Mevludi;Arslani
"01-087-003";"0-0";Osnovna škola Vukovina;Damir;Bedić
"19-018-009";"0-0";Osnovna škola Mokošica, Dubrovnik;Petra;Đapić Caput
"17-126-028";"0-0";Osnovna škola Kamen - Šine;Bože;Ujević
"21-114-076";"0-0";Osnovna škola Tina Ujevića;Vlatka;Mihelić
"10-089-001";"0-0";Osnovna škola Ivane Brlić-Mažuranić Virovitica;Ivica;Tomljanović
"08-221-001";"0-0";Osnovna škola Kostrena;Adriana;Glavan
"03-204-001";"0-0";Osnovna škola Katarina Zrinska Mečenčani;Svjetlana;Tufeković
"05-087-501";"0-0";Srednja škola Ludbreg;Josip;Zdelar
"21-114-018";"0-0";Osnovna škola Žuti brijeg;Veljko;Kordić
"10-310-001";"0-0";Osnovna škola Davorin Trstenjak Čađavica;Ksenija;Žunec
"01-032-005";"0-0";Osnovna škola Posavski Bregi;Renata;Koić
"15-415-003";"0-0";Osnovna škola Pirovac;Marina;Erak
"13-107-518";"0-0";Ekonomsko-birotehnička i trgovačka škola;Zdenka;Sršen-Juričević
"16-421-003";"0-0";Osnovna škola Borovo;Tihomir;Jakovljević
"14-022-501";"0-0";Ekonomska škola Braća Radić           ;Željko;Bionda
"15-415-002";"0-0";Osnovna škola Murterski Škoji;Ivana;Finka
"15-081-509";"0-0";Srednja strukovna škola Šibenik;Dražen;Sekso
"07-028-501";"0-0";Srednja škola Bartola Kašića Grubišno Polje;Ivana;Orešković
"17-467-002";"0-0";Osnovna škola Dugopolje;Željko;Šparmajer
"17-444-001";"0-0";Osnovna škola Bol;Bartul;Bakulić
"14-326-001";"0-0";Osnovna škola Josipa Jurja Strossmayera;Martina;Pavlić
"01-073-505";"0-0";Centar za odgoj i obrazovanje Lug;Nataša;Grković Šola
"08-275-501";"0-0";Pomorska škola;Igor;Kegalj
"04-034-007";"0-0";Osnovna škola Turanj;Snježana;Žunac
"05-240-002";"0-0";Osnovna škola Svibovec;Melita;Mesarić
"09-026-504";"0-0";Gimnazija Gospić;Josip;Štampar
"21-114-147";"0-0";"Centar za odgoj i obrazovanje "Slava Raškaj" Zagreb  ";Jelena;Grabovac
"01-033-002";"0-0";Glazbena škola Jastrebarsko;Dragutin;Fabijanić
"21-114-600";"0-0";Gimnazija i ekonomska škola Benedikta Kotruljevića, s pravom javnosti;Nada;Morić
"21-114-524";"0-0";Veterinarska škola;Andrea;Djurdjević
"21-114-634";"0-0";Glazbena škola Ladislav Račić;Ladislav;Račić
"18-069-011";"0-0";Škola za odgoj i obrazovanje - Pula;Višnja;Popović
"14-060-005";"0-0";Osnovna škola Vladimira Becića Osijek;Marija;Orkić
"19-512-501";"0-0";Srednja poljoprivredna i tehnička škola;Danijela;Primorac
"16-432-002";"0-0";Osnovna škola Lipovac;Grgur;Jurković
"04-216-001";"0-0";Osnovna škola "Josipdol";Anđelina;Božičević
"13-003-001";"0-0";Osnovna škola Biograd;Jordanko;Miloš
"01-108-001";"0-0";Osnovna škola Antuna Augustinčića;Danijela;Adžijević
"16-111-004";"0-0";Osnovna škola Ivana Martinovića;Marija;Klarić Brdarić
"16-441-001";"0-0";Osnovna škola Ivane Brlić-Mažuranić Rokovci - Andrijaševci;Igor;Miličević
"16-427-001";"0-0";Osnovna škola August Cesarec;Željko;Puljić
"13-107-012";"0-0";Osnovna glazbena škola Sv. Benedikta;Igor;Cecić
"14-060-019";"0-0";Osnovna škola Retfala;Igor;Kopić
"13-027-001";"0-0";Osnovna škola Nikole Tesle;Slavica;Miočić
"14-060-023";"0-0";Osnovna škola Cvjetno;Ivana;Mihaljević
"05-086-008";"0-0";VII. osnovna škola Varaždin;Jurica;Hunjadi
"02-185-001";"0-0";Osnovna škola Side Košutić Radoboj;Dražen;Gerić
"07-271-001";"0-0";Osnovna škola Mate Lovraka;Marina;Balen
"02-189-002";"0-0";Osnovna škola Belec;Nikolina;Puklin
"01-087-011";"0-0";Centar za odgoj i obrazovanje Velika Gorica;Nikolina;Vučković-Barišić
"18-069-512";"0-0";Glazbena škola Ivana Matetića-Ronjgova Pula;Romana;Vuksan Zuban
"06-023-503";"0-0";Gimnazija dr. Ivana Kranjčeva Đurđevac;Tomislav;Ostojić
"06-038-001";"0-0";Osnovna škola Koprivnički Ivanec;Kristina;Furkes
"03-043-501";"0-0";Srednja škola Tina Ujevića;Saša;Sambolek
"17-126-020";"0-0";Osnovna škola Mejaši;Josipa;Banić
"15-017-004";"0-0";Osnovna glazbena škola Krsto Odak;Ines;Topić
"05-087-502";"0-0";Srednja škola Novi Marof;Nikola;Žganec
"21-114-544";"0-0";Škola za modu i dizajn;Maja;Dadić Žeravica
"18-069-002";"0-0";Osnovna škola Stoja;Zoran;Bjelopetrović
"08-071-528";"0-0";Srednja škola Andrije Ljudevita Adamića;Denis;Khermayer
"18-499-001";"0-0";Osnovna škola Svetvinčenat;Silvija;Jeromela Obrovac
"05-224-001";"0-0";Osnovna škola "Petar Zrinski" Jalžabet";Mirjana;Kučar
"17-126-023";"0-0";Osnovna škola Srinjine;Zrinka;Mužinić-Bikić
"02-174-001";"0-0";Osnovna škola Pavla Štoosa;Ivana;Kalamir Tomažin
"01-087-503";"0-0";Srednja strukovna škola Velika Gorica;Miroslav;Antolčić
"21-114-146";"0-0";Osnovna Montessori škola barunice Dedee Vranyczany              ;Narcisa;Buczynski
"11-077-510";"0-0";Katolička gimnazija s pravom javnosti ;Ivan;Bedeničić
"02-168-002";"0-0";Centar za odgoj i obrazovanje Zajezda;Denis;Sušac
"03-054-501";"0-0";Srednja škola Novska;Nikolina;Fijačko Filipović
"14-325-001";"0-0";Osnovna škola Vladimira Nazora;Marko;Knežević
"20-010-507";"0-0";Srednja škola Čakovec;Gordana;Ramušćak
"02-123-502";"0-0";Glazbena škola Pregrada;Petra;Tokić
"20-607-001";"0-0";Osnovna škola Sveta Marija;Gorana;Šavora Peter
"17-057-003";"0-0";Osnovna škola Gornja Poljica;Stipe;Božinović Mađor
"17-126-502";"0-0";Elektrotehnička škola - Split;Sanio;Bečić
"16-432-003";"0-0";Osnovna škola Ilača - Banovci;Marija;Dević
"16-423-001";"0-0";Osnovna škola Gradište;Mario;Dominković
"01-020-003";"0-0";Glazbena škola Dugo Selo;Dario;Cebić
"16-429-001";"0-0";Osnovna škola Lovas;Marko;Brajković
"19-513-001";"0-0";Osnovna škola Kula Norinska;Josip;Šprlje
"17-126-530";"0-0";Gimnazijski kolegij Kraljica Jelena s pravom javnosti                      ;Koraljka;Bezina
"04-034-506";"0-0";Šumarska i drvodjeljska škola Karlovac;Daniel;Peris
"17-075-001";"0-0";Osnovna škola Ivana Lovrića;Vranko;Perković
"17-047-501";"0-0";Srednja škola fra Andrije Kačića Miošića;Evelin;Bulić
"21-114-124";"0-0";Waldorfska škola u Zagrebu;Aleksandra;Belković
"19-512-001";"0-0";Osnovna škola Opuzen;Valentina;Peršin Čubranić
"08-299-001";"0-0";Osnovna škola Brod Moravice;Tajana;Jauk Mance
"01-032-001";"0-0";Osnovna škola Đure Deželića Ivanić-Grad                          ;Mileo;Todić
"14-060-509";"0-0";Graditeljsko-geodetska škola Osijek;Darko;Pšihistal
"14-016-002";"0-0";Osnovna škola Hrvatski sokol;Krešimir;Lagetar
"17-477-001";"0-0";Osnovna škola Zagvozd;Tonći;Vuksan
"21-114-044";"0-0";Osnovna škola Petra Preradovića;Denis;Žvorc
"16-438-001";"0-0";Osnovna škola Korog, Korog;Ema;Sesvećan
"19-589-001";"0-0";Osnovna škola Slano;Ante;Konjuh
"18-072-002";"0-0";Osnovna škola Vladimira Nazora - Scuola elementare "Vladimir Nazor";Bojan;Burić
"13-002-501";"0-0";Srednja škola Kneza Branimira, Benkovac;Maja;Brkljača
"19-589-002";"0-0";Osnovna škola Primorje;Zlatko;Volarević
"11-077-005";"0-0";Katolička osnovna škola u Požegi;Frano;Barišić
"04-221-001";"0-0";Osnovna škola Žakanje;Jasmina;Katunić
"18-072-001";"0-0";"Talijanska osnovna škola - Scuola elementare italiana "Bernardo Benussi" Rovinj - Rovigno";Tiziana;Zovich Stanić
"17-528-001";"0-0";Osnovna škola Zmijavci;Josip;Jonjić
"16-088-003";"0-0";Osnovna škola Ivana Gorana Kovačića;Mario;Lovrić
"18-484-001";"0-0";Osnovna škola Petra Studenca Kanfanar;Ivor;Kuček
"08-071-006";"0-0";Osnovna škola - Scuola elementare Dolac;Dunja;Kučan Nikolić
"12-078-501";"0-0";Srednja škola Matije Antuna Reljkovića Slavonski Brod;Marija;Tomić
"17-126-010";"0-0";Osnovna škola Meje;Majda;Asanović
"05-484-001";"0-0";Osnovna škola Tužno;Josip;Puček
"13-365-001";"0-0";Osnovna škola Vladimir Nazor;Ivan;Hrabrov
"19-601-001";"0-0";Osnovna škola Trpanj;Lovro;Dabelić
"14-060-014";"0-0";Osnovna škola Dobriša Cesarić;Marin;Božić
"17-126-004";"0-0";Osnovna škola Skalice;Leo;Botica
"17-382-001";"0-0";Osnovna škola kralja Zvonimira;Dominik;Matković
"21-114-571";"0-0";Humanistička gimnazija;Tonči;Maleš
"21-114-151";"0-0";Osnovna škola Kreativan razvoj s pravom javnosti;Martin-Tino;Časl
"21-114-535";"0-0";Prva ekonomska škola;Nenad;Travar
"18-490-001";"0-0";Osnovna škola Joakima Rakovca;Mladen;Majušević
"18-069-507";"0-0";Medicinska škola Pula;Ivan;Žagar
"21-114-121";"0-0";Umjetnička plesna škola Silvije Hercigonje;Ivana;Pinjušić Bužančić
"18-044-003";"0-0";Centar Liče Faraguna;Martina;Herceg
"16-096-008";"0-0";Osnovna škola Antuna Bauera;Zlatko;Milić
"17-047-502";"0-0";Srednja strukovna škola;Momir;Sumić
"16-088-006";"0-0";Osnovna škola Nikole Tesle;Alen;Turjak
"15-419-001";"0-0";Osnovna škola Jakova Gotovca;Živko;Bulat
"21-114-516";"0-0";XVI. gimnazija;Nina;Karković
"21-114-081";"0-0";Osnovna škola Savski Gaj;Matija;Bajić
"21-114-043";"0-0";Osnovna škola Lovre pl. Matačića;Tomislav;Milek
"21-114-045";"0-0";Osnovna škola dr. Vinka Žganca;Renata;Cindrić
"21-114-038";"0-0";Osnovna škola Silvija Strahimira Kranjčevića;Melita;Haluga
"21-114-531";"0-0";Graditeljska tehnička škola;Dinka;Džeko
"21-114-057";"0-0";Osnovna škola Augusta Šenoe;Ivana;Sauha
"21-114-073";"0-0";Osnovna škola Cvjetno naselje;Nataša;Batnožić
"21-114-133";"0-0";Osnovna škola Borovje;Branka;Štefok Bojadžija
"19-038-002";"0-0";Osnovna škola Ante Curać-Pinjac;Ivan;Fabris
"21-114-008";"0-0";Osnovna škola Josipa Jurja Strossmayera;Nenad;Oremuš
"21-114-072";"0-0";Osnovna škola Vrbani;Mislav;Batarelo
"21-114-039";"0-0";Osnovna škola Augusta Cesarca;Tina;Kirin
"21-114-014";"0-0";Osnovna škola Pavleka Miškine;Vesna;Vrbanović Jančić
"21-114-084";"0-0";Osnovna škola Lučko;Pavo;Šimović
"21-114-096";"0-0";Osnovna škola Frana Galovića;Maja;Lisska
"21-114-012";"0-0";Osnovna škola Ivana Cankara;Boris;Počuča
"21-114-153";"0-0";Centar za odgoj i obrazovanje Vinko Bek;Ivana;Rotim
"11-324-002";"0-0";Osnovna škola "Vladimir Nazor";Josip;Prološčić
"18-492-001";"0-0";Osnovna škola dr. Mate Demarina;Emanuela;Pinzan Chiavalon
"11-318-001";"0-0";Osnovna škola Dragutina Lermana;Marko;Buće
"02-179-001";"0-0";Osnovna škola Franje Horvata Kiša;Tamara;Herceg Babić
"06-037-503";"0-0";Srednja škola Koprivnica;Manuela;Gregurić
"02-553-001";"0-0";Osnovna škola Josipa Broza;Željka;Töpfer
"10-309-001";"0-0";Osnovna škola Gradina;Ivana;Kovač
"17-126-008";"0-0";Osnovna škola Lučac;Mario;Šarić
"18-006-001";"0-0";Osnovna škola - Scuola elementare Mate Balote Buje - Buie;Dražen;Hinek
"15-036-002";"0-0";Osnovna škola dr. Franje Tuđmana;Silvijo;Norac-Kljajo
"02-014-003";"0-0";Glazbena škola Bonar;Ružica;Gelo Ciglenečki
"14-060-022";"0-0";Centar za autizam;Vladimir;Bjelobrk
"02-040-002";"0-0";Osnovna škola "Ljudevit Gaj" u Krapini      ";Vlatka;Družinec
"13-107-013";"0-0";Katolička osnovna škola Ivo Mašina u Zadru;Roland;Jelić
"13-372-001";"0-0";Osnovna škola Franka Lisice Polača;Mate;Bobanović
"05-031-502";"0-0";Srednja škola u Maruševcu s pravom javnosti;Dejan;Stanjević
"16-096-502";"0-0";Ekonomska škola Vukovar  ;Jelena;Vinaj
"06-247-001";"0-0";Osnovna škola Fran Koncelak Drnje;Dunja;Valenčak
"09-026-003";"0-0";Osnovna škola dr. Franje Tuđmana Lički Osik  ;Antonio;Milinković
"09-379-001";"0-0";Osnovna škola "Milan Sekulić" Lovinac";Marija;Tonković
"19-511-501";"0-0";Srednja škola Blato;Ivo;Gavranić
"12-078-508";"0-0";Klasična gimnazija fra Marijana Lanosovića s pravom javnosti;Klaudio;Milohanović
"21-114-071";"0-0";Osnovna škola Alojzija Stepinca;Darka;Bebić Štimac
"17-447-001";"0-0";Osnovna škola Selca;Ivica;Škrpaca
"17-126-536";"0-0";Centar za odgoj i obrazovanje Slava Raškaj;Željka;Paleka
"01-073-006";"0-0";Osnovna škola Rude;Miroslav;Fresl
"10-089-005";"0-0";Katolička osnovna škola u Virovitici;Mario;Večerić
"21-114-113";"0-0";Osnovna škola "Lotrščak";Marin;Divić
"21-114-034";"0-0";Osnovna škola Gračani;Dalibor;Dedić
"21-114-589";"0-0";Škola za klasični balet;Marko;Đurakić
"21-114-130";"0-0";Osnovna glazbena škola Schola musica;Ksenija;Burić
"21-114-065";"0-0";Osnovna škola Prečko;Jadranka;Oštarčević
"21-114-157";"0-0";Salezijanska osnovna škola;Ivan;Benić
"21-114-155";"0-0";Osnovna škola Jelkovec;Ljiljana;Lepan Babić
"21-114-630";"0-0";"Glazbena škola "Muzički atelje" ";Zdravko;Miladin
"21-114-030";"0-0";Osnovna škola Ivana Filipovića;Mirjam;Vinković Rangel
"21-114-097";"0-0";Prva katolička osnovna škola u Gradu Zagrebu;Vinko;Mamić
"05-086-010";"0-0";Katolička osnovna škola Svete Uršule;Ankica;Dumbović
"21-114-626";"0-0";Glazbena škola Brkanović;Vedran;Brkanović
"14-060-521";"0-0";Isusovačka klasična gimnazija s pravom javnosti u Osijeku;Sebastian;Šujević
"03-194-001";"0-0";Osnovna škola Jabukovac;Jadranka;Novak
"08-071-014";"0-0";Osnovna škola Pećine;Jasna;Vukonić-Žunič
"21-114-154";"0-0";Centar za rehabilitaciju Zagreb;Ružica;Stipčić
"13-107-504";"0-0";Klasična gimnazija Ivana Pavla II. s pravom javnosti;Ante;Sorić
"07-012-004";"0-0";Centar za odgoj i obrazovanje Rudolf Steiner Daruvar;Silvija;Kancijan
"17-126-535";"0-0";Centar za odgoj i obrazovanje Juraj Bonači;Snježana;Čotić
"03-054-004";"0-0";Katolička osnovna škola u Novskoj;Krunoslav;Juraković
"08-071-015";"0-0";Osnovna škola Podmurvice;Loredana;Jakominić
"21-114-595";"0-0";Hotelijersko-turistička škola u Zagrebu;Zdravka;Krpina
"21-114-149";"0-0";Centar za odgoj i obrazovanje Dubrava;Liliana;Kalčić Galeković
"21-114-632";"0-0";"Međunarodna osnovna škola "Vedri obzori";Milena;Prodanić-Tišma
"21-114-140";"0-0";Centar za odgoj i obrazovanje Tuškanac - Zagreb;Meri;Gatin
"11-077-501";"0-0";Gimnazija Požega;Vesna;Vlašić
"21-114-150";"0-0";Osnovna škola Hugo Kon;Sanja;Petrušić Goldstein
"10-067-502";"0-0";Srednja škola Marka Marulića Slatina;Ivan;Roštaš
"19-018-503";"0-0";Biskupijska klasična gimnazija Ruđera Boškovića s pravom javnosti;Josip;Lebo
"08-292-502";"0-0";Centar odgoja i obrazovanja pri Odgojnom domu Mali Lošinj;Silvija;Kocijan
"753-951";"0-0";API testing;Testić;Api
"21-990-91";"0-0";Francuska osnovna škola;Maryline;Boussenard